SeriesInd,S01Var01,S01Var02,S02Var02,S02Var03,S03Var05,S03Var07,S04Var01,S04Var02,S05Var02,S05Var03,S06Var05,S06Var07
40775,26.84,11003900,75630700,13.67,35.50571443,34.94142914,18.530001,39171900,22989500,68.5,33.189999,33.689999
40776,26.9,10479800,120284000,13.92,36.97142786,37.03142929,17.780001,71686200,21119200,68.57,32.59,33.009998
40777,26.6,17497200,93331100,13.85,36.89142986,38.06714243,17.780001,36231400,21654700,68.220001,32.700001,33.580002
40778,26.75,14470700,92002200,14.11,38.28428643,38.68999857,17.83,18901000,24340000,68.18,33.700001,33.48
40781,27.35,21070400,123029200,14.28,38.84000014,38.5,17.719999,17363800,18237100,68.93,33.360001,32.720001
40782,27.440001,37647800,292667400,13.15,38.181427,37.43428414,17.360001,22851000,36374700,68.199997,32.200001,31.719999
40783,26.76,17187200,208023500,12.9,37.60714343,37.37142943,17,26452500,33243500,68.610001,32.07,32.450001
40784,27.049999,15133100,110114400,13.38,37.57428743,38.37714386,17.049999,16788100,47200900,68.239998,32.790001,33.23
40785,26.950001,18069000,146322900,12.96,38.47285843,37.29857257,17.129999,19688200,43762100,67.730003,33.25,33.110001
40788,26.719999,12975600,106416800,13.18,37.69142914,38.04999929,16.99,18162400,30734900,67.18,33.220001,33.880001
40789,26.219999,21086300,123207400,12.75,37.55571371,36.95428471,16.9,31375300,31646100,66,33.41,32.939999
40790,26.18,21484600,198525600,11.59,36.14714429,36.56999971,16.700001,23004200,30260300,65.830002,32.630001,32.66
40791,26.120001,27373200,237094700,10.59,36.26142886,35.17856986,16.51,32125800,58336300,58.459999,32.439999,31.18
40792,25.27,26491900,261066500,10.95,34.81571586,33.69428629,15.95,43941000,69004800,63.23,30.879999,30.82
40795,26,17622700,134388700,12.02,35.75,36.28428643,16.83,28103500,38337600,64.519997,32.25,32.970001
40796,26.15,15890100,125738800,11.85,35.97714229,36.64571386,16.639999,27786500,29790600,64.230003,32.509998,32.91
40797,26.15,12698500,102657000,12.49,37.03428643,37.44142914,16.5,16405900,25390700,64.5,33.18,33.66
40798,26.09,13313600,100156000,12.32,37.60285571,36.90857314,16.5,15363800,26791600,64.32,33.5,33.080002
40799,25.360001,18323300,105856000,11.87,36.45142743,36.25999829,16.66,28111400,38815400,62.91,32.759998,32.040001
40802,25.5,16456000,108686700,11.49,36.38571543,36.31714243,16.469999,21935000,31923700,62.259998,32.080002,31.969999
40803,25.66,25045000,101309100,11.45,36.71142957,36.05142971,16.440001,16182200,34457000,62.419998,32.279999,30.59
40804,24.870001,19404600,132864400,11.11,35.64285657,35.47714229,16,20485400,36722500,62,29.950001,30.08
40805,24.700001,24563200,156449200,10.76,34.554287,33.96571357,15.49,33789000,57194500,60.209999,29.440001,28.690001
40806,24.84,19264900,174455100,10.17,33.25999829,34.61714171,15.9,31215300,52802900,59.16,28.049999,30.110001
40809,24.6,12654300,90998300,11.01,35.32571414,35.25142671,15.79,20116800,27847800,60.130001,29.57,28.709999
40810,24.440001,20761600,137858600,10.42,34.19285586,35.03142929,15.31,27856300,50533800,58.459999,27.709999,28.9
40811,24.82,17978000,146872000,11.35,35.72571557,34.87285614,15.83,33656000,34028900,59.119999,29.23,28.040001
40812,24.870001,14974200,90700800,11.66,35.79999929,36.19285586,15.84,31091700,31911500,60.099998,28.709999,29.41
40813,24.9,14589500,78823400,11.62,37.05571371,36.69714357,15.69,17619700,32078700,60.279999,29.469999,28.690001
40817,24.860001,15099700,80977300,11.38,37.09857171,37.26142886,15.55,30475500,32972000,59.139999,28.68,28.23
40818,24.780001,12846000,87265300,11.45,37.79142757,37.70714186,15.2,24993000,28668400,59.23,28.559999,29.18
40819,25.18,12150800,79568700,11.81,37.88285829,37.58856957,15.5,28395100,32383700,60.599998,29.360001,28.860001
40820,24.950001,14542600,83480900,11.39,36.88714214,36.56571586,15.38,23606400,45019200,59.290001,28.280001,27.780001
40823,24.559999,16883500,76229000,11.06,36.898571,35.84857171,15.36,19153200,28389500,59.200001,28.01,27.290001
40824,24,19113300,81494400,10.89,36.17714314,35.61857229,15.12,35500700,48460700,59.380001,27.459999,27.76
40825,24.540001,19882500,74947600,11,35.92428586,34.74285886,15.06,18108600,31693200,59.82,27.950001,27.030001
40826,24.57,17308800,64799500,11.1,34.97714229,35.78714371,15.14,21249100,33020100,61.16,27.52,28.129999
40827,24.59,13942700,50280600,11.21,35.46142957,36.21571357,15.35,14056600,21227100,61.18,27.74,27.84
40830,24.889999,14604200,58144500,11.4,36.56571586,36.32571414,15.49,12493100,24667800,61.32,27.799999,27.4
40831,25.76,17740500,51790900,11.52,36.52000043,37.09857171,15.69,13888300,24532600,61.490002,27.59,27.91
40832,25.6,19305300,61954100,11.5,37.29999929,38.17856986,15.65,15920300,20652700,61.900002,27.75,28.120001
40833,25.690001,10056300,69430100,11.33,38.65714257,38.83856957,15.72,10769300,23310200,61.950001,28.1,27.93
40834,25.690001,12038300,55417700,11.4,38.89285657,39.15285871,15.67,12767100,32747000,62.400002,28.040001,28.07
40837,25.85,11123000,67814300,11.5,39.66999814,38.59571457,15.84,20412800,24877600,62.849998,28.440001,27.940001
40838,25.58,11927500,73509000,11.18,38.880001,39.12142943,15.51,22418100,26147000,61.790001,28.030001,27.459999
40839,25.1,11448400,83134400,11,39.22571557,38.70999914,15.39,13374000,38058900,60.900002,27.379999,27.32
40840,24.75,14724700,74449200,10.64,38.71428686,38.42856986,15.19,18287700,34188500,59.869999,27.049999,26.860001
40841,24.43,26127200,148168400,10.42,38.58000186,38.09999843,14.92,29817600,118023500,59.099998,27.15,27.049999
40844,24.5,11670500,57994700,10.43,38.13285829,38.32857129,14.86,8175400,43013000,58.470001,27.24,27.030001
40845,24.09,19408500,124866100,9.75,37.73143,36.59571457,14.54,31825900,52525000,57,26.57,25.93
40846,24.07,17478500,182831300,10.04,36.67285543,35.93285757,14.22,23912900,43944900,56.919998,26.049999,25.6
40847,23.469999,16440000,153383000,10.02,36.32857129,35.49714286,14.15,33222500,47746400,56.169998,25.540001,25.18
40848,23.389999,11337000,71607100,10.15,35.78428643,35.27714157,14.24,18564400,32767900,55.939999,25.4,24.879999
40852,23.540001,13470200,81246900,10.04,35.85714343,35.51857,14.46,17334100,36912100,56.77,25.459999,25.15
40853,24.27,16852400,72565300,10.17,35.78428643,36.952858,14.42,17417900,41797200,57.259998,25.280001,26.66
40854,24.469999,10670900,62355500,10.45,37.49714286,36.869999,14.77,17088700,40430300,58.130001,27.059999,26.639999
40855,24.51,7698500,50732700,10.54,36.69857029,37.08856957,14.93,12682000,25976500,58.299999,26.5,27
40858,24.799999,9822500,56354100,10.83,36.93285757,36.75571443,15.21,15585900,23515000,58.200001,26.93,27.059999
40859,25.540001,15212100,103923200,11.26,36.61714171,35.97142786,15.6,22328800,30514200,59.040001,27.370001,27.940001
40860,25.799999,17591100,68051400,11.54,35.62571329,36.10428614,15.42,12255700,26061100,58.619999,27.700001,27.66
40861,25.450001,14120800,66020400,11.51,35.46142957,35.92142871,15.39,12626600,24737300,58.59,27.85,27.809999
40862,25.43,12003700,68905500,11.3,36.16857143,35.70000071,15.37,16829800,35805700,57.810001,27.440001,26.24
40865,25.58,15506000,49910000,11.23,35.69714357,35.082859,15.38,16168200,20960000,58.099998,26.27,26.02
40866,24.889999,30930000,53134900,11.25,34.70000071,35.98428729,15.28,29578300,23807300,57.669998,25.469999,25.91
40867,24.92,15249900,67645100,11.43,37.869999,36.31999971,14.28,78035800,26859700,57.599998,27.530001,26.059999
40868,25.42,15635900,102031500,11.75,36.811428,37.00285714,14.17,42677600,27051400,58.66,26.620001,27.389999
40869,25.459999,12517200,161608200,12.35,36.72714229,37.134285,14.04,34318400,19281400,58.799999,27.33,27.42
40872,25.66,9569100,125770900,12.75,37.14285657,37.04000086,14.22,23247800,20236500,59.630001,27.450001,27.91
40873,25.92,13152100,97305400,12.85,37.26714329,37.72571557,14.1,20971000,22400800,60.389999,28.41,28.389999
40874,25.620001,11958100,59746700,12.86,37.667141,37.27999871,13.99,13522600,23511100,60.73,28.25,28.07
40875,25.4,12190000,88510100,12.72,37.24428557,36.87285614,13.96,16703000,33763000,60.290001,28.32,27.690001
40876,24.879999,13150900,79512400,12.58,36.55571371,36.75,13.98,18380400,29354600,59.599998,27.27,27.73
40879,25.23,9116900,77124700,12.94,37.20571514,37.40714257,14.08,14167200,28144000,60.610001,28.290001,28.57
40880,25.1,9204100,115202600,12.77,37.28714371,37.41857143,14.07,14098600,31075800,61.880001,28.450001,28.120001
40881,25.25,10671300,60875000,12.95,37.54857257,37.568573,14.2,14297200,21033800,62.27,28.17,27.93
40882,25.530001,13410400,51574800,12.9,37.38999943,37.38571543,14.25,13072700,19985300,61.849998,27.709999,27.879999
40883,25.6,12003500,54704600,12.8,37.11142729,37.155716,14.38,13394800,23097300,61.25,27.49,27.75
40886,25.85,8919100,39072000,12.92,37.35428614,37.39285657,14.52,12202600,14731300,62.18,27.9,28.23
40887,25.540001,15417300,50265100,12.8,37.12142943,37.05857086,14.46,9658000,23188500,61.450001,27.940001,27.77
40888,25.139999,12745300,68132100,12.33,36.485714,35.74142843,14.2,13235500,24281300,60.200001,27.26,26.299999
40889,24.969999,18134400,68017900,11.9,35.24142843,35.97000129,13.99,11659900,16951300,59.560001,26,26
40890,24.690001,9836200,41635500,12.13,35.95000071,35.58571243,13.96,7845600,14651300,59.799999,25.99,25.84
40893,24.59,10180900,59316100,11.88,35.36857229,35.37714386,13.9,11416400,14301100,59.25,25.67,25.68
40894,24.870001,9929400,61043500,12.06,35.72571557,35.99571614,14,13298600,20122200,60.139999,25.959999,25.34
40895,25.139999,10860600,54218100,11.8,36.05142971,36.15285871,14.05,15533300,20071500,59.630001,25.299999,25.379999
40896,25.049999,9449500,61059000,11.83,36.119999,35.69714357,14,14100700,21174500,58.900002,25.1,24.43
40897,24.870001,12589100,50806600,11.6,35.62714386,35.662857,13.95,17192200,21008800,58.549999,24.43,24.6
40900,24.860001,12780000,42449600,11.6,35.97000129,35.11428457,13.87,12297600,21337700,58.900002,24.860001,24.23
40901,24.58,14861700,86299200,11.09,34.667141,34.27571486,13.64,13425800,25679100,58.790001,23.959999,23.639999
40902,24.41,14788700,78571900,10.95,34.00571443,34.69857029,13.37,15556800,20944000,58.419998,23.41,23.6
40903,24.34,15337500,56953100,11.14,35.06428529,34.32571414,13.4,14602700,22320900,58.330002,23.73,23.49
40904,24.219999,17892700,63565200,11.05,34.53571314,34.51714329,13.47,12705600,28279500,58.049999,23.639999,24
40907,23.9,19672200,33651500,11.35,34.39428714,34.64285657,13.42,7120900,16265100,58.959999,23.93,23.25
40908,23.59,17039700,64984700,11.13,34.54999929,34.72857286,13.14,16489500,26985400,58.5,23.18,23.549999
40909,23.860001,13779500,81988800,11.46,35.35285571,35.76142886,13.41,24616700,26286200,59.720001,23.91,24.66
40910,24.120001,10832200,39943600,11.57,35.89428714,36.02428443,13.55,18190200,18662600,60.369999,24.68,25.1
40911,24.49,11599200,65243900,11.84,36.44142914,36.967144,13.75,12478500,21982900,60.75,25.75,25.84
40915,24.120001,11004700,42497600,11.78,36.662857,36.83000186,13.62,10240600,19435700,60.450001,25.57,24.92
40916,23.77,12763600,40798700,11.7,37.11142729,37.56000143,13.82,12102700,17380600,60.630001,25.030001,25.219999
40917,24.16,13149200,48528500,11.64,37.86285786,37.58142857,13.92,17735500,16525200,60.91,25.709999,25.690001
40918,23.889999,17328700,37849800,11.75,37.59857171,37.630001,13.77,18590100,14488400,60.950001,25.83,25.75
40921,24.49,12710300,36689700,11.84,37.97428514,38.148571,13.88,24261400,23141800,60.540001,26.370001,26.5
40922,24.93,14274900,39772300,11.89,38.02999871,38.29428486,13.76,23064500,17977500,60.75,26.299999,26.059999
40923,24.709999,11457300,54102700,11.76,38.31000143,38.60285571,14.35,90035400,18769900,60.360001,25.719999,26.34
40924,24.99,12517500,141408500,12.1,38.60571286,39.50999829,14.23,27281500,16432500,60.450001,26.16,26.059999
40925,25.85,25212100,68954600,12.34,39.66999814,39.33856957,14.33,79565400,26447200,60.630001,26.370001,26.01
40928,25.93,16572300,49812800,12.38,39.43999857,40.46142957,14.06,26234600,21788100,60.950001,26.09,26.559999
40929,26.08,15808400,59130900,12.51,40.55142971,40.53857043,14.26,32048400,20525200,61.25,26.629999,26.379999
40930,25.969999,10210100,53139300,12.29,40.38714214,41.10714343,14.25,18567400,18207700,61.41,26.370001,25.809999
40931,26.25,13297600,46866400,12.15,40.90428543,41.27428443,14.24,16931600,18097800,60.900002,25.299999,25.040001
40932,26.940001,14901500,42647800,12.39,41.72857286,41.75999829,14.51,24154800,25145300,61.360001,25.459999,25.59
40935,27,9673700,28799700,12.46,41.99714286,41.594284,14.53,20674000,16642800,61.68,25.719999,25.530001
40936,27.17,12484500,42671500,12.27,41.681427,40.97999957,14.45,16074100,18806700,61.27,25.58,25.35
40937,27.08,12016400,45211800,12.28,41.032856,41.05285643,14.39,24475700,21158000,61.27,25.209999,25.040001
40938,27.4,19052400,42679600,12.2,41.28571314,40.53571314,14.35,20376200,25460200,61.470001,25.24,25.120001
40939,27.610001,12156000,54565500,12.12,40.87857057,40.36000057,14.35,16096500,24160200,61.799999,25.299999,25.559999
40942,27.58,15091800,95949200,12.53,40.22857286,39.80571371,14.32,20557500,16902500,61.84,25.51,25.379999
40943,28.5,23034400,74701900,12.92,40.28571314,41.27714157,14.77,23988400,25185400,62.43,25.67,26.25
40944,28.559999,18289700,92326000,13.04,41.369999,41.31285857,14.7,20297000,21645200,63.18,26.219999,26.299999
40945,28.4,16897300,53526700,13.19,41.47714229,41.31714243,14.61,18068600,19468400,63.369999,26.469999,26
40946,28.860001,16244800,71857700,13.28,41.67285543,42.00999829,14.56,16102900,22370500,63.630001,26.190001,25.950001
40949,28.98,11592500,48002800,13.68,42.10571286,42.19428629,14.58,8348200,13848900,64.309998,25.959999,25.65
40950,28.85,14847700,50056400,13.51,42.20142743,42.648571,14.47,12465700,20732000,63.93,25.440001,25.98
40951,28.450001,20238400,59061900,13.64,42.88571543,42.87714386,15.48,50773400,22560500,64.57,26.23,25.809999
40952,28.540001,13072100,78814100,13.78,43.09857171,43.18714143,16.76,123449900,17778100,64.870003,25.450001,24.719999
40953,28.809999,13427500,61337700,13.61,43.91999814,44.96285629,16.73,58481800,25500700,64.82,25,23.58
40956,28.709999,11535100,34852700,13.64,45.49571614,45.42856986,16.280001,35876500,22481700,65.029999,23.690001,24.870001
40957,28.52,13135700,84614000,13.18,43.34285743,44.21285629,15.8,32678600,25367400,64.589996,24.67,24.549999
40958,28.24,14047900,60800200,13.35,44.14285657,44.36142729,16.25,37790200,20543900,65.349998,24.27,25.6
40959,28.309999,10824000,85365000,13.66,44.62285614,44.217144,16,26935500,21291200,65.650002,25.77,26.030001
40960,28.709999,9318700,38003100,13.83,44.15285871,43.92428586,16.41,24264100,13332800,66.129997,26.030001,26.110001
40963,29.190001,15464900,77370800,14.01,44.155716,44.119999,16.440001,17251500,16516600,66.160004,26.370001,25.719999
40964,28.91,17814300,214814400,13.92,43.83856957,44.00714114,16.48,22349000,17652900,65.809998,25.6,25.91
40965,29.48,16822600,81025700,14.09,43.95000071,43.97571557,16.43,13764400,23358900,65.089996,25.690001,25.75
40966,29.43,14399700,51719400,14.06,43.99285886,43.60571286,16.450001,12689500,20464200,66.050003,25.84,25.940001
40967,29.75,15745700,52281900,14.1,43.46142957,42.99714286,16.52,16013700,19265600,65.989998,25.82,26.059999
40970,29.84,12181700,56606000,14.16,43.17428586,43.45428471,16.52,14360600,22372700,66.629997,26.030001,25.93
40971,29.9,10739400,54691100,14.22,43.85714343,44.19428629,16.4,9964700,26192200,67.209999,26,25.969999
40972,30,13185500,185667300,14.44,44.48143,44.68571471,16.23,17325500,26545300,67.32,25.74,26.459999
40973,30.790001,15003400,193232000,15.4,45.06428529,45.467144,16.35,26484700,31221400,68.290001,26.809999,27.459999
40974,31.469999,17664000,141539900,15.81,45.42714314,45.304287,16.4,13414000,26531700,69.400002,27.559999,29.219999
40977,31.469999,13242600,127386000,16.059999,45.31428529,45.51714329,16.5,15561500,23628000,69.459999,28.91,29.040001
40978,31.59,13105600,133717300,15.88,45.86428457,45.15428543,17.6,56218900,33938100,70.099998,29.040001,28.129999
40979,31.43,11578800,139738200,16.08,45.23428729,45.43285757,17.01,17012600,25482400,70.150002,28.08,28.58
40980,30.93,14662700,94746200,16.200001,45,45.235714,16.860001,15310600,23788900,70.730003,28.360001,28.190001
40981,31.379999,16420400,91657100,16.040001,45.14285657,44.00428386,16.75,17703400,24598100,70.43,28.01,27.540001
40984,31.209999,8417600,233268400,16.68,44.06571586,43.86285786,16.889999,18934600,18779600,70.440002,27.620001,27.65
40985,30.85,13728300,234481200,16.360001,43.67428586,43.08428571,16.49,23484100,27543400,68.559998,27.5,27.190001
40986,31.049999,10932400,127748600,16.52,43.02857214,42.92856986,16.33,10305800,17471800,68.559998,27.18,26.860001
40987,31.51,13157600,256937900,16.049999,43.59999843,44.061428,17.17,46500100,18322900,69.639999,27.24,27.51
40988,31.950001,12181200,130323600,15.83,43.99571614,43.818573,16.969999,24036200,24116400,69.360001,27.43,27.49
40991,32.259998,12183000,91288900,16.110001,43.811428,44.76571271,16.65,14316900,18907900,68.790001,27.26,26.950001
40992,32.220001,11933600,96689100,15.62,44.34999843,44.10428614,16.43,22437900,22672000,68.32,26.639999,26.799999
40993,32.560001,11777700,66727700,15.81,44.57143014,44.97142786,16.48,11561700,19335600,69.190002,26.92,27.110001
40995,32.509998,2946000,31557200,15.75,44.81999971,45,16.4,4953900,7324600,68.900002,26.92,26.65
40998,32.330002,9011300,61577500,15.86,45.07143014,45.26714329,16.450001,14653000,20021200,68.300003,26.58,27.200001
40999,32.009998,12156400,71737400,15.83,44.79142757,44.45000071,16.34,24981100,27524300,68.32,26.879999,27.209999
41000,32.939999,16463900,100724400,16.139999,45.03857043,45.20000071,16.4,17435900,26590200,70.379997,27.58,27.530001
41001,32.860001,10807100,82484500,16.629999,45.36142729,45.45000071,16.41,13167300,21274800,70.949997,27.629999,28.780001
41002,32.98,13443800,67399500,16.6,45.28714371,45.34857171,16.370001,9228000,19457100,70.889999,28.35,29.049999
41005,33.009998,13383300,57290300,16.52,45.52000043,45.735714,16.6,12063800,15985400,71.059998,28.860001,28.74
41006,33.639999,19578000,64104300,16.549999,46.25714114,45.45857243,17.07,29056400,23694600,71.419998,29.09,28.469999
41007,33.75,14122100,106700000,16.35,45.66143043,45.85857014,17.219999,21773300,22654900,71.480003,28.549999,29.370001
41008,33.93,9768500,47280900,16.66,46.01857,45.68000029,17.190001,8673300,17971600,71.330002,29.549999,30.07
41009,33.740002,15516400,38196000,16.65,45.66428757,45.79428486,17.049999,8985300,17699500,71.620003,30.32,30.27
41012,33,10247000,53899700,16.469999,46.33856957,45.952858,16.99,12755400,21170500,72.07,30.49,30.219999
41013,32.860001,9316700,43070000,16.389999,45.96142957,45.75571443,16.84,11429500,20625900,71.93,30.129999,29.82
41014,32.939999,7849900,44901200,16.35,45.71428686,45.76571271,16.73,10944200,20979000,71.790001,29.780001,29.790001
41015,32.77,11000800,49567600,16.440001,45.869999,45.89285657,16.700001,12940500,18513900,71.57,29.84,30.02
41016,32.990002,15308500,51948100,16.68,45.94714357,45.80142971,16.66,24896100,36761300,71.779999,29.99,29.959999
